"psu","ssu"
354850005000001,309
354850005000002,250
354850005000003,279
354850005000004,278
354850005000005,332
354850005000006,276
354850005000007,323
354850005000008,341
354850005000009,345
354850005000010,257
354850005000011,326
354850005000012,278
354850005000013,260
354850005000014,346
354850005000015,291
354850005000016,295
354850005000017,348
354850005000018,308
354850005000019,347
354850005000020,326
354850005000021,322
354850005000022,350
354850005000023,301
354850005000024,299
354850005000025,315
354850005000026,333
354850005000027,298
354850005000028,335
354850005000029,301
354850005000030,303
354850005000031,307
354850005000032,274
354850005000033,338
354850005000034,316
354850005000035,298
354850005000036,348
354850005000037,296
354850005000038,312
354850005000039,289
354850005000040,250
354850005000041,344
354850005000042,274
354850005000043,307
354850005000044,268
354850005000045,341
354850005000046,258
354850005000047,341
354850005000048,340
354850005000049,323
354850005000544,307
354850005000545,289
354850005000546,325
354850005000547,340
354850005000548,331
354850005000549,332
354850005000550,292
354850005000551,267
354850005000552,267
354850005000553,340
354850005000554,325
354850005000555,306
354850005000556,257
354850005000050,336
354850005000051,342
354850005000052,272
354850005000053,313
354850005000054,256
354850005000055,302
354850005000056,331
354850005000057,348
354850005000058,284
354850005000059,313
354850005000060,291
354850005000061,284
354850005000062,333
354850005000063,319
354850005000064,282
354850005000065,294
354850005000066,276
354850005000067,263
354850005000068,341
354850005000069,321
354850005000070,307
354850005000071,342
354850005000072,341
354850005000073,255
354850005000074,254
354850005000075,349
354850005000076,270
354850005000077,343
354850005000078,269
354850005000079,262
354850005000080,304
354850005000081,277
354850005000082,285
354850005000083,258
354850005000084,327
354850005000085,294
354850005000086,253
354850005000087,320
354850005000088,275
354850005000089,313
354850005000090,276
354850005000091,303
354850005000092,297
354850005000093,308
354850005000094,317
354850005000095,271
354850005000096,348
354850005000097,331
354850005000098,277
354850005000099,290
354850005000100,279
354850005000101,299
354850005000102,326
354850005000103,301
354850005000104,294
354850005000105,329
354850005000106,342
354850005000107,257
354850005000108,264
354850005000109,289
354850005000110,336
354850005000111,276
354850005000112,259
354850005000113,323
354850005000114,349
354850005000115,270
354850005000116,305
354850005000117,284
354850005000118,291
354850005000119,268
354850005000120,284
354850005000121,268
354850005000122,332
354850005000123,339
354850005000124,320
354850005000125,277
354850005000126,293
354850005000127,251
354850005000128,306
354850005000129,317
354850005000130,281
354850005000131,345
354850005000132,267
354850005000133,294
354850005000134,307
354850005000135,348
354850005000136,327
354850005000137,294
354850005000138,285
354850005000139,253
354850005000140,309
354850005000141,347
354850005000142,275
354850005000143,335
354850005000144,271
354850005000145,278
354850005000146,298
354850005000147,328
354850005000148,340
354850005000149,345
354850005000150,291
354850005000151,283
354850005000152,278
354850005000153,257
354850005000154,257
354850005000155,266
354850005000156,265
354850005000157,325
354850005000158,259
354850005000159,311
354850005000160,270
354850005000161,300
354850005000162,263
354850005000163,250
354850005000164,315
354850005000165,274
354850005000166,292
354850005000167,322
354850005000168,260
354850005000169,311
354850005000170,271
354850005000171,340
354850005000172,306
354850005000173,275
354850005000174,323
354850005000175,276
354850005000176,326
354850005000177,346
354850005000178,298
354850005000179,341
354850005000180,350
354850005000181,273
354850005000182,278
354850005000183,321
354850005000184,334
354850005000185,297
354850005000186,289
354850005000187,259
354850005000188,326
354850005000189,330
354850005000190,295
354850005000191,286
354850005000192,286
354850005000193,256
354850005000194,296
354850005000195,299
354850005000196,302
354850005000197,253
354850005000198,254
354850005000199,341
354850005000200,344
354850005000201,313
354850005000202,328
354850005000203,325
354850005000204,263
354850005000205,267
354850005000206,254
354850005000207,317
354850005000208,317
354850005000209,315
354850005000210,327
354850005000211,279
354850005000212,331
354850005000213,305
354850005000214,312
354850005000215,297
354850005000216,295
354850005000217,347
354850005000218,317
354850005000219,335
354850005000220,271
354850005000221,268
354850005000222,277
354850005000223,308
354850005000224,346
354850005000225,275
354850005000226,273
354850005000227,277
354850005000228,295
354850005000229,286
354850005000230,266
354850005000231,312
354850005000232,347
354850005000233,255
354850005000234,287
354850005000235,322
354850005000236,334
354850005000237,277
354850005000238,334
354850005000239,259
354850005000240,267
354850005000241,288
354850005000242,314
354850005000243,311
354850005000244,277
354850005000245,350
354850005000246,250
354850005000247,338
354850005000248,336
354850005000249,261
354850005000250,325
354850005000251,262
354850005000252,266
354850005000253,250
354850005000254,252
354850005000255,306
354850005000256,278
354850005000257,342
354850005000258,334
354850005000259,345
354850005000260,321
354850005000261,308
354850005000262,297
354850005000263,338
354850005000264,254
354850005000265,342
354850005000266,339
354850005000267,311
354850005000268,334
354850005000269,291
354850005000270,327
354850005000271,250
354850005000272,270
354850005000273,260
354850005000274,324
354850005000275,260
354850005000276,273
354850005000277,294
354850005000278,282
354850005000279,251
354850005000280,261
354850005000281,295
354850005000282,315
354850005000283,349
354850005000284,280
354850005000285,279
354850005000286,332
354850005000287,267
354850005000288,331
354850005000289,304
354850005000290,270
354850005000291,270
354850005000292,344
354850005000293,348
354850005000294,342
354850005000295,349
