psu,dogs
354850005000227,0
354850005000227,1
354850005000227,0
354850005000227,0
354850005000227,1
354850005000330,0
354850005000330,1
354850005000330,0
354850005000330,1
354850005000330,1
354850005000296,1
354850005000296,1
354850005000296,2
354850005000296,0
354850005000296,1
354850005000431,1
354850005000431,0
354850005000431,0
354850005000431,3
354850005000431,0
354850005000421,1
354850005000421,3
354850005000421,3
354850005000421,1
354850005000421,0
354850005000515,1
354850005000515,2
354850005000515,0
354850005000515,0
354850005000515,0
354850005000489,0
354850005000489,0
354850005000489,0
354850005000489,0
354850005000489,1
354850005000583,0
354850005000583,0
354850005000583,0
354850005000583,1
354850005000583,0
354850005000397,1
354850005000397,2
354850005000397,0
354850005000397,2
354850005000397,2
354850005000270,1
354850005000270,1
354850005000270,0
354850005000270,1
354850005000270,2
354850005000666,1
354850005000666,2
354850005000666,1
354850005000666,1
354850005000666,0
354850005000285,1
354850005000285,0
354850005000285,1
354850005000285,1
354850005000285,2
354850005000538,0
354850005000538,1
354850005000538,2
354850005000538,1
354850005000538,1
354850005000156,1
354850005000156,0
354850005000156,2
354850005000156,0
354850005000156,2
354850005000603,1
354850005000603,1
354850005000603,0
354850005000603,1
354850005000603,0
354850005000130,1
354850005000130,1
354850005000130,3
354850005000130,1
354850005000130,1
354850005000258,1
354850005000258,0
354850005000258,1
354850005000258,0
354850005000258,1
354850005000128,2
354850005000128,1
354850005000128,0
354850005000128,1
354850005000128,1
354850005000311,1
354850005000311,0
354850005000311,0
354850005000311,0
354850005000311,1
354850005000397,2
354850005000397,2
354850005000397,1
354850005000397,0
354850005000397,0
